id,name,supertype,hp,evolvesFrom,convertedRetreatCost,number,artist,rarity
bw8-10,Leavanny,Pokémon,140,Swadloon,2,10,Mitsuhiro Arita,Rare
dp3-15,Mew,Pokémon,60,,1,15,Kagemaru Himeno,Rare Holo
sm10-5,Oddish,Pokémon,50,,1,5,0313,Common
np-2,Groudon ex,Pokémon,120,,3,2,Kazuo Yazawa,Promo
si1-15,Wartortle,Pokémon,60,Squirtle,1,15,Naoyo Kimura,
base4-13,Ninetales,Pokémon,80,Vulpix,1,13,Ken Sugimori,Rare Holo
sm12-12,Tropius,Pokémon,120,,2,12,sowsow,Uncommon
sm1-12,Decidueye-GX,Pokémon,240,Dartrix,2,12,5ban Graphics,Rare Holo GX
ecard2-H15,Lanturn,Pokémon,80,Chinchou,1,H15,Yuka Morii,Rare Holo
ex11-15,Starmie δ,Pokémon,60,Staryu,,15,Masakazu Fukuda,Rare Holo
hgss1-15,Ariados,Pokémon,80,Spinarak,1,15,Ken Sugimori,Rare
sm6-6,Scatterbug,Pokémon,40,,1,6,Ken Sugimori,Common
ex1-5,Delcatty,Pokémon,70,Skitty,1,5,Atsuko Nishida,Rare Holo
ex8-12,Mightyena,Pokémon,70,Poochyena,,12,Naoyo Kimura,Rare Holo
pl1-15,Shaymin,Pokémon,80,,1,15,Atsuko Nishida,Rare Holo
sma-SV5,Pheromosa,Pokémon,110,,,SV5,Mizue,Rare Shiny
pop8-6,Cherrim,Pokémon,80,Cherubi,2,6,Atsuko Nishida,Uncommon
pl4-13,Aerodactyl,Pokémon,80,Old Amber,1,13,Masakazu Fukuda,Rare
hsp-HGSS04,Wobbuffet,Pokémon,90,,3,HGSS04,match,Promo
xy5-13,Surskit,Pokémon,50,,1,13,Sumiyoshi Kizuki,Common
xy10-13,Delphox,Pokémon,140,Braixen,2,13,Kagemaru Himeno,Rare Holo
base5-12,Dark Slowbro,Pokémon,60,Slowpoke,2,12,Mitsuhiro Arita,Rare Holo
bw2-7,Leavanny,Pokémon,130,Swadloon,1,7,Kouki Saitou,Rare
pop6-12,Buneary,Pokémon,50,,1,12,Kagemaru Himeno,Common
ecard2-H16,Magneton,Pokémon,70,Magnemite,2,H16,Hikaru Koike,Rare Holo
neo4-14,Light Dragonite,Pokémon,100,Light Dragonair,2,14,Atsuko Nishida,Rare Holo
si1-16,Lickitung,Pokémon,70,,2,16,Naoyo Kimura,
dv1-16,Haxorus,Pokémon,140,Fraxure,2,16,Eske Yoshinob,Rare Holo
dc1-4,Team Aqua's Sealeo,Pokémon,90,Team Aqua's Spheal,3,4,Naoki Saito,Common
dp2-6,Bronzong,Pokémon,90,Bronzor,3,6,Daisuke Ito,Rare Holo
ru1-13,Skuntank,Pokémon,90,Stunky,2,13,Pokemon Rumble,
pop4-12,Pidgey,Pokémon,40,,1,12,Hisao Nakamura,Common
base4-14,Pidgeot,Pokémon,80,Pidgeotto,,14,Kagemaru Himeno,Rare Holo
sm8-11,Hoppip,Pokémon,30,,1,11,Mizue,Common
sm4-5,Cacnea,Pokémon,60,,1,5,Anesaki Dynamic,Common
ex9-14,Groudon,Pokémon,80,,2,14,Kouki Saitou,Rare
xy1-12,Chespin,Pokémon,60,,2,12,5ban Graphics,Common
bw1-11,Maractus,Pokémon,80,,2,11,Kagemaru Himeno,Uncommon
bw11-16,Genesect,Pokémon,110,,1,16,Ayaka Yoshida,Rare Holo
ex1-6,Dustox,Pokémon,90,Cascoon,,6,Midori Harada,Rare Holo
xy12-6,Kakuna,Pokémon,80,Weedle,2,6,Keiji Kinebuchi,Uncommon
neo1-5,Feraligatr,Pokémon,120,Croconaw,3,5,Ken Sugimori,Rare Holo
xy7-14,Entei,Pokémon,120,,2,14,Naoki Saito,Rare
base2-7,Nidoqueen,Pokémon,90,Nidorina,3,7,Ken Sugimori,Rare Holo
dp2-7,Celebi,Pokémon,60,,1,7,Kagemaru Himeno,Rare Holo
bw3-6,Dwebble,Pokémon,60,,2,6,MAHOU,Common
det1-15,Snubbull,Pokémon,70,,2,15,Framestore,Common
hgss3-10,Umbreon,Pokémon,90,Eevee,1,10,Mitsuhiro Arita,Rare Holo
xy6-11,Shedinja,Pokémon,30,Nincada,1,11,Aya Kusube,Rare
neo3-12,Porygon2,Pokémon,70,Porygon,1,12,Keiji Kinebuchi,Rare Holo
pop2-7,Ivysaur,Pokémon,80,Bulbasaur,1,7,Ken Sugimori,Uncommon
col1-14,Lucario,Pokémon,90,Riolu,1,14,Takashi Yamaguchi,Rare Holo
sm115-15,Magikarp,Pokémon,30,,1,15,Shigenori Negishi,Common
dp7-4,Lumineon,Pokémon,80,Finneon,,4,Kent Kanetsuna,Rare Holo
hgss4-15,Bronzong,Pokémon,90,Bronzor,3,15,Yuka Morii,Rare
basep-10,Meowth,Pokémon,50,,1,10,Kagemaru Himeno,Promo
sm5-15,Shaymin,Pokémon,80,,1,15,Mizue,Rare Holo
xy0-7,Pansear,Pokémon,70,,1,7,Naoyo Kimura,
ex7-13,Piloswine,Pokémon,100,Swinub,2,13,Tomokazu Komiya,Rare Holo
swsh3-6,Pansage,Pokémon,60,,1,6,Mina Nakai,Common
bw10-15,Wartortle,Pokémon,80,Squirtle,2,15,Akira Komayama,Uncommon
neo2-5,Houndour,Pokémon,50,,1,5,Aya Kusube,Rare Holo
bw4-13,Arcanine,Pokémon,120,Growlithe,3,13,Ryo Ueda,Uncommon
base1-13,Poliwrath,Pokémon,90,Poliwhirl,3,13,Ken Sugimori,Rare Holo
pop1-13,Plusle,Pokémon,50,,1,13,Ken Sugimori,Common
ex10-13,Slowbro,Pokémon,80,Slowpoke,2,13,Midori Harada,Rare Holo
ex13-11,Latias δ,Pokémon,70,,1,11,Masakazu Fukuda,Rare Holo
bw3-5,Lilligant,Pokémon,80,Petilil,1,5,Akira Komayama,Rare
hgss3-9,Togekiss,Pokémon,120,Togetic,1,9,Atsuko Nishida,Rare Holo
sm10-6,Oddish,Pokémon,60,,1,6,Asako Ito,Common
xy8-10,Quilladin,Pokémon,90,Chespin,3,10,Miki Tanaka,Uncommon
bw9-13,Heatran-EX,Pokémon,180,,3,13,Eske Yoshinob,Rare Holo EX
sm3-12,Pansage,Pokémon,70,,1,12,Shigenori Negishi,Common
dp3-17,Roserade,Pokémon,90,Roselia,1,17,Ken Sugimori,Rare Holo
sm1-13,Grubbin,Pokémon,70,,2,13,Akira Komayama,Common
pop7-14,Mareep,Pokémon,50,,1,14,Atsuko Nishida,Common
smp-SM06,Rockruff,Pokémon,60,,1,SM06,match,Promo
bw6-13,Roselia,Pokémon,70,,1,13,Shin Nagasawa,Common
xyp-XY05,Xerneas,Pokémon,130,,2,XY05,5ban Graphics,Promo
sm9-14,Charizard,Pokémon,150,Charmeleon,2,14,Masakazu Fukuda,Rare
swsh1-12,Thwackey,Pokémon,100,Grookey,2,12,Megumi Mizutani,Uncommon
base2-6,Mr. Mime,Pokémon,40,Mime Jr.,1,6,Ken Sugimori,Rare Holo
swsh4-10,Seedot,Pokémon,60,,1,10,Suwama Chiaki,Common
bw9-12,Flareon,Pokémon,100,Eevee,2,12,5ban Graphics,Uncommon
ex5-7,Heracross,Pokémon,70,,1,7,Hajime Kusajima,Rare Holo
xy3-5,M Heracross-EX,Pokémon,220,Heracross-EX,3,5,5ban Graphics,Rare Holo EX
dp1-13,Roserade,Pokémon,90,Roselia,1,13,Nakaoka,Rare Holo
ecard3-H9,Gengar,Pokémon,100,Haunter,2,H9,Kyoko Umemoto,Rare Holo
pl3-13,Venusaur,Pokémon,140,Ivysaur,4,13,Kouki Saitou,Rare Holo
dp3-16,Raikou,Pokémon,80,,2,16,Ryo Ueda,Rare Holo
base3-15,Zapdos,Pokémon,80,,2,15,Mitsuhiro Arita,Rare Holo
ex15-4,Meganium δ,Pokémon,110,Bayleef,2,4,Sumiyoshi Kizuki,Rare Holo
dpp-DP13,Buizel,Pokémon,60,,1,DP13,Mitsuhiro Arita,Promo
sm7-8,Treecko,Pokémon,70,,1,8,tetsuya koizumi,Common
swsh2-6,Heracross,Pokémon,130,,2,6,otumami,Uncommon
sm12-13,Kricketot,Pokémon,60,,1,13,Ken Sugimori,Common
xy4-11,Litleo,Pokémon,60,,2,11,Atsuko Nishida,Common
swshp-SWSH004,Meowth V,Pokémon,180,,2,SWSH004,aky CG Works,Promo
xy0-8,Fennekin,Pokémon,60,,1,8,5ban Graphics,
xy1-13,Quilladin,Pokémon,90,Chespin,3,13,5ban Graphics,Uncommon
ex8-13,Ninjask,Pokémon,70,Nincada,,13,Katsura Tabata,Rare Holo
pop1-14,Surskit,Pokémon,50,,1,14,Kagemaru Himeno,Common
sm10-7,Gloom,Pokémon,80,Oddish,2,7,Anesaki Dynamic,Uncommon
pop5-9,δ Rainbow Energy,Energy,,,,9,Takumi Akabane,Uncommon
base6-14,Jolteon,Pokémon,70,Eevee,1,14,Kagemaru Himeno,Rare Holo
xy9-4,Seedot,Pokémon,50,,1,4,Kanako Eo,Common
sm35-5,Breloom,Pokémon,110,Shroomish,2,5,Mizue,Common
hgss2-12,Beedrill,Pokémon,110,Kakuna,,12,Kyoko Umemoto,Rare
ex6-9,Nidoqueen,Pokémon,120,Nidorina,2,9,Naoyo Kimura,Rare Holo
pop9-12,Buneary,Pokémon,50,,1,12,Midori Harada,Common
xy2-16,Torkoal,Pokémon,100,,2,16,Akira Komayama,Uncommon
np-3,Treecko,Pokémon,40,,1,3,Atsuko Nishida,Promo
bwp-BW06,Snivy,Pokémon,60,,1,BW06,Shizurow,Promo
sm6-7,Spewpa,Pokémon,70,Scatterbug,2,7,Miki Tanaka,Uncommon
ex16-5,Blaziken,Pokémon,100,Combusken,2,5,Masakazu Fukuda,Rare Holo
bw7-12,Servine,Pokémon,80,Snivy,1,12,Mizue,Uncommon
gym2-15,Rocket's Zapdos,Pokémon,70,,2,15,Shin-ichi Yoshida,Rare Holo
mcd16-4,Magikarp,Pokémon,30,,1,4,Akira Komayama,
xy11-15,Volcarona,Pokémon,110,Larvesta,1,15,Kouki Saitou,Rare
swsh35-15,Drednaw VMAX,Pokémon,320,Drednaw V,4,15,aky CG Works,Rare Holo VMAX
xy6-10,Ninjask,Pokémon,70,Nincada,,10,Sumiyoshi Kizuki,Uncommon
g1-5,Butterfree,Pokémon,130,Metapod,1,5,miki kudo,Rare Holo
ex7-14,Togetic,Pokémon,70,Togepi,1,14,Sumiyoshi Kizuki,Rare Holo
sm8-12,Hoppip,Pokémon,40,,1,12,kawayoo,Common
xy9-5,Kricketot,Pokémon,60,,1,5,Sumiyoshi Kizuki,Common
base4-15,Poliwrath,Pokémon,90,Poliwhirl,3,15,Ken Sugimori,Rare Holo
swsh3-7,Simisage,Pokémon,100,Pansage,1,7,Hasegawa Saki,Uncommon
swsh2-7,Lotad,Pokémon,60,,1,7,Sumiyoshi Kizuki,Common
sma-SV6,Charmander,Pokémon,70,,2,SV6,kirisAki,Rare Shiny
ex2-8,Lunatone,Pokémon,60,,1,8,Hajime Kusajima,Rare Holo
ex6-10,Pidgeot,Pokémon,100,Pidgeotto,,10,Midori Harada,Rare Holo
bw11-17,Charmander,Pokémon,70,,2,17,match,Common
xy4-12,Pyroar,Pokémon,110,Litleo,2,12,Naoki Saito,Rare Holo
bw5-11,Accelgor,Pokémon,90,Shelmet,,11,Kouki Saitou,Rare
ex9-15,Kyogre,Pokémon,80,,2,15,Kouki Saitou,Rare
dpp-DP14,Chatot,Pokémon,60,,1,DP14,Masakazu Fukuda,Promo
bw10-16,Blastoise,Pokémon,140,Wartortle,4,16,Satoshi Shirai,Rare Holo
xy11-16,Ponyta,Pokémon,60,,1,16,Sumiyoshi Kizuki,Common
base3-16,Aerodactyl,Pokémon,60,Mysterious Fossil,2,16,Kagemaru Himeno,Rare
dp7-5,Magnezone,Pokémon,120,Magneton,2,5,Masakazu Fukuda,Rare Holo
bw7-13,Serperior,Pokémon,140,Servine,1,13,Mizue,Rare Holo
pop7-15,Ralts,Pokémon,60,,1,15,Sumiyoshi Kizuki,Common
gym1-14,Sabrina's Gengar,Pokémon,80,Sabrina's Haunter,1,14,Ken Sugimori,Rare Holo
sm6-9,Skiddo,Pokémon,70,,2,9,Suwama Chiaki,Common
sm75-13,Salandit,Pokémon,60,,1,13,MAHOU,Common
bw1-12,Maractus,Pokémon,90,,2,12,Kouki Saitou,Rare
ex9-16,Manectric,Pokémon,70,Electrike,1,16,Kagemaru Himeno,Rare
xy2-18,Litleo,Pokémon,70,,2,18,5ban Graphics,Common
pop2-8,Mr. Briney's Compassion,Trainer,,,,8,Ken Sugimori,Uncommon
pop7-16,Sentret,Pokémon,60,,1,16,Midori Harada,Common
xy11-17,Rapidash,Pokémon,90,Ponyta,1,17,Yukiko Baba,Uncommon
dp6-5,Gliscor,Pokémon,80,Gligar,1,5,Kent Kanetsuna,Rare Holo
xy0-9,Braixen,Pokémon,80,Fennekin,1,9,5ban Graphics,
ex15-5,Milotic δ,Pokémon,90,Feebas,2,5,Midori Harada,Rare Holo
hgss3-11,Dodrio,Pokémon,80,Doduo,1,11,Yukiko Baba,Rare
pop4-13,Pikachu,Pokémon,50,,1,13,Kouki Saitou,Common
pl3-14,Yanmega,Pokémon,100,Yanma,,14,Masakazu Fukuda,Rare Holo
sm12-15,Deerling,Pokémon,60,,1,15,Shibuzoh.,Common
sm4-7,Karrablast,Pokémon,60,,2,7,OOYAMA,Common
bw6-14,Roserade,Pokémon,90,Roselia,1,14,Kyoko Umemoto,Uncommon
ru1-15,Rattata,Pokémon,30,,1,15,Pokemon Rumble,
sm2-14,Oricorio,Pokémon,90,,1,14,Shin Nagasawa,Rare
pl3-15,Arcanine G,Pokémon,90,,2,15,Yusuke Ishikawa,Rare
smp-SM07,Pikipek,Pokémon,60,,1,SM07,match,Promo
pop9-14,Gible,Pokémon,50,,1,14,Hiroki Fuchino,Common
si1-17,Vileplume,Pokémon,70,Gloom,2,17,Naoyo Kimura,
base1-15,Venusaur,Pokémon,100,Ivysaur,2,15,Mitsuhiro Arita,Rare Holo
sm115-16,Gyarados-GX,Pokémon,230,Magikarp,3,16,5ban Graphics,Rare Holo GX
dp7-6,Magnezone,Pokémon,120,Magneton,3,6,Tomoaki Imakuni,Rare Holo
neo1-6,Heracross,Pokémon,60,,2,6,Ken Sugimori,Rare Holo
np-5,Mudkip,Pokémon,50,,1,5,Ken Sugimori,Promo
ex13-12,Latios δ,Pokémon,80,,1,12,Mitsuhiro Arita,Rare Holo
neo3-13,Raikou,Pokémon,80,,1,13,Ken Sugimori,Rare Holo
xy5-14,Masquerain,Pokémon,80,Surskit,1,14,Kanako Eo,Uncommon
ex7-15,Dark Dragonite,Pokémon,120,Dark Dragonair,2,15,Nakaoka,Rare
pl2-10,Mismagius GL,Pokémon,80,,1,10,Naoyo Kimura,Rare Holo
pop3-12,Ditto,Pokémon,60,,1,12,Yuka Morii,Common
xy2-17,Fletchinder,Pokémon,80,Fletchling,1,17,5ban Graphics,Uncommon
ex6-11,Poliwrath,Pokémon,120,Poliwhirl,2,11,Ken Sugimori,Rare Holo
swsh4-11,Nuzleaf,Pokémon,80,Seedot,1,11,otumami,Uncommon
ecard2-H18,Nidoking,Pokémon,110,Nidorino,3,H18,Naoyo Kimura,Rare Holo
bw8-12,Foongus,Pokémon,40,,1,12,Mitsuhiro Arita,Common
sm1-14,Fomantis,Pokémon,60,,1,14,Kagemaru Himeno,Common
dp3-18,Salamence,Pokémon,140,Shelgon,3,18,Kazuyuki Kano,Rare Holo
base6-15,Machamp,Pokémon,100,Machoke,3,15,Ken Sugimori,Rare Holo
swsh4-12,Shiftry,Pokémon,150,Nuzleaf,3,12,Uta,Rare
swsh1-15,Rillaboom,Pokémon,190,Thwackey,4,15,Shin Nagasawa,Rare
mcd16-5,Totodile,Pokémon,60,,1,5,Kagemaru Himeno,
ex3-15,Flygon,Pokémon,100,Vibrava,2,15,Hajime Kusajima,Rare
neo1-7,Jumpluff,Pokémon,70,Skiploom,,7,Atsuko Nishida,Rare Holo
xy12-8,Tangela,Pokémon,80,,2,8,Mitsuhiro Arita,Common
pop1-15,Swellow,Pokémon,70,Taillow,1,15,Kagemaru Himeno,Common
g1-7,Parasect,Pokémon,100,Paras,2,7,Sumiyoshi Kizuki,Rare
ecard1-7,Clefable,Pokémon,70,Clefairy,1,7,Kagemaru Himeno,Rare Holo
bw10-18,Remoraid,Pokémon,60,,1,18,Masakazu Fukuda,Common
ex11-17,Umbreon δ,Pokémon,70,Eevee,1,17,Ryo Ueda,Rare Holo
ex9-17,Nosepass,Pokémon,70,,1,17,Kouki Saitou,Rare
dpp-DP15,Shinx,Pokémon,60,,1,DP15,Kagemaru Himeno,Promo
basep-12,Mewtwo,Pokémon,60,,2,12,Christopher Rush,Promo
pop6-14,Chimchar,Pokémon,50,,1,14,Kagemaru Himeno,Common
xy2-19,Litleo,Pokémon,60,,2,19,5ban Graphics,Common
sm8-13,Skiploom,Pokémon,60,Hoppip,,13,Hitoshi Ariga,Uncommon
bw4-16,Simisear,Pokémon,90,Pansear,1,16,Kouki Saitou,Rare
xy1-14,Chesnaught,Pokémon,160,Quilladin,4,14,5ban Graphics,Rare Holo
xy1-15,Scatterbug,Pokémon,40,,1,15,5ban Graphics,Common
xy6-12,Tropius,Pokémon,110,,2,12,Kyoko Umemoto,Uncommon
sm6-10,Gogoat,Pokémon,120,Skiddo,2,10,Anesaki Dynamic,Uncommon
g1-6,Paras,Pokémon,60,,1,6,Aya Kusube,Common
swshp-SWSH006,Rillaboom,Pokémon,170,Thwackey,3,SWSH006,Kouki Saitou,Promo
dp4-12,Altaria,Pokémon,80,Swablu,1,12,Kagemaru Himeno,Rare
sm5-17,Araquanid,Pokémon,100,Dewpider,2,17,Shin Nagasawa,Rare
pop8-8,Luxio,Pokémon,80,Shinx,,8,Kagemaru Himeno,Uncommon
pop7-17,Spinda,Pokémon,70,,1,17,Atsuko Nishida,Common
ex8-14,Shedinja,Pokémon,50,Nincada,,14,Yukiko Baba,Rare Holo
sm8-14,Jumpluff,Pokémon,70,Skiploom,,14,Masakazu Fukuda,Rare Holo
xy10-15,Seel,Pokémon,80,,2,15,Hasuno,Common
sm35-6,Carnivine,Pokémon,100,,2,6,Tomokazu Komiya,Uncommon
xy5-15,Shroomish,Pokémon,60,,1,15,Mizue,Common
sm1-15,Lurantis-GX,Pokémon,210,Fomantis,2,15,5ban Graphics,Rare Holo GX
bw9-14,Litwick,Pokémon,60,,1,14,Naoyo Kimura,Common
ex10-16,Sunflora,Pokémon,70,Sunkern,1,16,Sumiyoshi Kizuki,Rare Holo
swsh35-16,Gardevoir V,Pokémon,210,,2,16,Kagemaru Himeno,Rare Holo V
pop2-9,Multi Technical Machine 01,Trainer,,,,9,"""Big Mama"" Tagawa",Uncommon
ecard3-H11,Houndoom,Pokémon,70,Houndour,1,H11,Kimiya Masago,Rare Holo
base2-8,Pidgeot,Pokémon,80,Pidgeotto,,8,Kagemaru Himeno,Rare Holo
bw5-12,Flareon,Pokémon,90,Eevee,1,12,Suwama Chiaki,Uncommon
sm9-17,Ponyta,Pokémon,70,,1,17,Saya Tsuruta,Common
ex3-14,Dragonair,Pokémon,70,Dratini,2,14,Aya Kusube,Rare
swsh2-9,Ludicolo,Pokémon,160,Lombre,2,9,Masakazu Fukuda,Rare
pl4-16,Gengar,Pokémon,110,Haunter,,16,Midori Harada,Rare
xy7-16,Larvesta,Pokémon,70,,2,16,Satoshi Shirai,Common
xy8-11,Chesnaught,Pokémon,160,Quilladin,4,11,Mitsuhiro Arita,Rare Holo
sm3-13,Simisage,Pokémon,90,Pansage,1,13,tetsuya koizumi,Uncommon
sm4-8,Shelmet,Pokémon,60,,3,8,OOYAMA,Common
col1-16,Magmortar,Pokémon,110,Magmar,2,16,Hajime Kusajima,Rare Holo
pop1-16,Armaldo ex,Pokémon,160,Anorith,3,16,Hikaru Koike,Rare
dp7-7,Mismagius,Pokémon,80,Misdreavus,1,7,Midori Harada,Rare Holo
sm11-8,Swadloon,Pokémon,70,Sewaddle,2,8,Shibuzoh.,Uncommon
dp5-7,Leafeon,Pokémon,90,Eevee,2,7,Kouki Saitou,Rare Holo
ex16-6,Charizard,Pokémon,120,Charmeleon,2,6,Ken Sugimori,Rare Holo
ex11-18,Vaporeon δ,Pokémon,70,Eevee,1,18,Kouki Saitou,Rare Holo
mcd16-6,Pikachu,Pokémon,60,,1,6,Naoki Saito,
dpp-DP16,Pikachu,Pokémon,60,,1,DP16,Sumiyoshi Kizuki,Promo
xy9-7,Petilil,Pokémon,50,,1,7,Naoyo Kimura,Common
dp1-16,Staraptor,Pokémon,100,Staravia,,16,Masahiko Ishii,Rare Holo
sma-SV8,Alolan Vulpix,Pokémon,60,,1,SV8,Kouki Saitou,Rare Shiny
gym2-18,Giovanni,Trainer,,,,18,Ken Sugimori,Rare Holo
base4-17,Scyther,Pokémon,70,,,17,Ken Sugimori,Rare Holo
xy0-10,Delphox,Pokémon,140,Braixen,2,10,5ban Graphics,
neo3-14,Suicune,Pokémon,70,,1,14,Ken Sugimori,Rare Holo
ex12-18,Huntail,Pokémon,80,Clamperl,1,18,Midori Harada,Rare
smp-SM09,Togedemaru,Pokémon,70,,1,SM09,match,Promo
bw6-16,Maractus,Pokémon,90,,2,16,sui,Uncommon
xy5-16,Breloom,Pokémon,100,Shroomish,2,16,Suwama Chiaki,Rare
pop6-15,Piplup,Pokémon,60,,1,15,Atsuko Nishida,Common
swsh1-16,Blipbug,Pokémon,50,,1,16,nagimiso,Common
hgss2-16,Floatzel,Pokémon,80,Buizel,,16,Masakazu Fukuda,Rare
neo2-8,Politoed,Pokémon,100,Poliwhirl,3,8,Tomokazu Komiya,Rare Holo
bw7-16,Petilil,Pokémon,50,,1,16,sui,Uncommon
base2-9,Pinsir,Pokémon,60,,1,9,Kagemaru Himeno,Rare Holo
xy3-7,Leafeon,Pokémon,90,Eevee,1,7,Naoyo Kimura,Rare
ru1-16,Bibarel,Pokémon,90,Bidoof,3,16,Pokemon Rumble,
hgss4-19,Dugtrio,Pokémon,80,Diglett,,19,Shizurow,Rare
pop2-10,Pokémon Park,Trainer,,,,10,Kazuo Yazawa,Uncommon
swshp-SWSH007,Frosmoth,Pokémon,90,Snom,2,SWSH007,kirisAki,Promo
sma-SV9,Wooper,Pokémon,70,,1,SV9,Misa Tsutsui,Rare Shiny
dp5-8,Manaphy,Pokémon,70,,1,8,Suwama Chiaki,Rare Holo
base1-17,Beedrill,Pokémon,80,Kakuna,,17,Ken Sugimori,Rare
gym1-16,Erika,Trainer,,,,16,Ken Sugimori,Rare Holo
xy12-9,Charmander,Pokémon,60,,1,9,Mitsuhiro Arita,Common
dc1-8,Team Aqua's Muk,Pokémon,110,Team Aqua's Grimer,3,8,Kouki Saitou,Rare Holo
base5-14,Dark Weezing,Pokémon,60,Koffing,1,14,Shin-ichi Yoshida,Rare Holo
ecard1-8,Cloyster,Pokémon,80,Shellder,2,8,Kyoko Umemoto,Rare Holo
hgss2-15,Fearow,Pokémon,80,Spearow,1,15,Kagemaru Himeno,Rare
xy11-18,Chimchar,Pokémon,60,,1,18,Shibuzoh.,Common
base6-16,Muk,Pokémon,70,Grimer,2,16,Mitsuhiro Arita,Rare Holo
sm115-18,Vaporeon,Pokémon,120,Eevee,3,18,Masakazu Fukuda,Rare Holo
bw3-8,Karrablast,Pokémon,60,,1,8,sui,Common
ex15-6,Nidoking δ,Pokémon,120,Nidorino,3,6,Mitsuhiro Arita,Rare Holo
ecard3-H12,Jolteon,Pokémon,70,Eevee,,H12,Hikaru Koike,Rare Holo
swsh35-17,Gardevoir VMAX,Pokémon,320,Gardevoir V,2,17,5ban Graphics,Rare Holo VMAX
hgss1-17,Cleffa,Pokémon,30,,,17,Masakazu Fukuda,Rare
ex4-16,Team Aqua's Sealeo,Pokémon,70,Team Aqua's Spheal,1,16,T. Honda,Rare
pop3-14,Ivysaur,Pokémon,70,Bulbasaur,1,14,Midori Harada,Common
pl1-19,Banette,Pokémon,90,Shuppet,1,19,Tomokazu Komiya,Rare
pl2-13,Shiftry,Pokémon,130,Nuzleaf,1,13,Kagemaru Himeno,Rare Holo
bw11-19,Charizard,Pokémon,160,Charmeleon,3,19,TOKIYA,Rare Holo
smp-SM10,Shiinotic,Pokémon,100,Morelull,2,SM10,Mizue,Promo
det1-18,Slaking,Pokémon,180,Vigoroth,4,18,Framestore,Rare
ex1-9,Manectric,Pokémon,70,Electrike,1,9,Mitsuhiro Arita,Rare Holo
bw1-14,Sawsbuck,Pokémon,90,Deerling,1,14,Naoyo Kimura,Rare
sm9-18,Rapidash,Pokémon,100,Ponyta,1,18,Shigenori Negishi,Uncommon
ex12-19,Lanturn,Pokémon,80,Chinchou,2,19,Kagemaru Himeno,Rare
sm12-16,Sawsbuck,Pokémon,100,Deerling,2,16,sui,Rare Holo
ex16-7,Cradily,Pokémon,110,Lileep,2,7,Ken Sugimori,Rare Holo
np-6,Torchic,Pokémon,40,,1,6,Ken Sugimori,Promo
neo1-9,Lugia,Pokémon,90,,2,9,Hironobu Yoshida,Rare Holo
ex13-15,Raichu δ,Pokémon,70,Pikachu,,15,Masakazu Fukuda,Rare Holo
ecard3-H13,Kabutops,Pokémon,90,Kabuto,2,H13,Kouki Saitou,Rare Holo
pl1-16,Slaking,Pokémon,150,Vigoroth,4,16,Masakazu Fukuda,Rare Holo
ex4-14,Team Aqua's Crawdaunt,Pokémon,80,Team Aqua's Corphish,1,14,Nakaoka,Rare
pop6-13,Cherubi,Pokémon,50,,1,13,Atsuko Nishida,Common
ex14-11,Swalot,Pokémon,80,Gulpin,1,11,Mitsuhiro Arita,Rare Holo
pop9-13,Chimchar,Pokémon,40,,1,13,Midori Harada,Common
neo4-15,Light Togetic,Pokémon,60,Togepi,,15,Naoyo Kimura,Rare Holo
ex12-16,Girafarig,Pokémon,70,,1,16,Aya Kusube,Rare
ex5-8,Jirachi,Pokémon,70,,1,8,Ryo Ueda,Rare Holo
dp5-5,Glaceon,Pokémon,80,Eevee,1,5,Atsuko Nishida,Rare Holo
pop8-7,Carnivine,Pokémon,70,,1,7,Kouki Saitou,Uncommon
basep-11,Eevee,Pokémon,30,,,11,Kagemaru Himeno,Promo
ex10-14,Slowking,Pokémon,70,Slowpoke,1,14,Midori Harada,Rare Holo
col1-15,Lugia,Pokémon,100,,3,15,Ryo Ueda,Rare Holo
dc1-5,Team Aqua's Walrein,Pokémon,140,Team Aqua's Sealeo,4,5,Hitoshi Ariga,Rare Holo
ecard2-H17,Muk,Pokémon,70,Grimer,1,H17,Hajime Kusajima,Rare Holo
bw4-14,Moltres,Pokémon,120,,2,14,Ryo Ueda,Rare Holo
xy10-14,Delphox BREAK,Pokémon,180,Delphox,,14,5ban Graphics,Rare BREAK
pl4-14,Bronzong,Pokémon,90,Bronzor,3,14,Atsuko Nishida,Rare
sm12-14,Kricketune,Pokémon,100,Kricketot,2,14,Anesaki Dynamic,Uncommon
sm4-6,Cacturne,Pokémon,110,Cacnea,2,6,Mina Nakai,Rare
sm7-9,Grovyle,Pokémon,80,Treecko,1,9,Shin Nagasawa,Uncommon
bwp-BW07,Tepig,Pokémon,60,,1,BW07,Shin Nagasawa,Promo
np-4,Grovyle,Pokémon,70,Treecko,1,4,Midori Harada,Promo
sm6-8,Vivillon,Pokémon,130,Spewpa,1,8,Akira Komayama,Rare
dp6-4,Giratina,Pokémon,100,,3,4,Kazuaki Aihara,Rare Holo
base1-14,Raichu,Pokémon,80,Pikachu,1,14,Ken Sugimori,Rare Holo
dp1-14,Shiftry,Pokémon,120,Nuzleaf,2,14,Masakazu Fukuda,Rare Holo
sm9-15,Vulpix,Pokémon,60,,1,15,Ken Sugimori,Common
ecard3-H10,Gyarados,Pokémon,90,Magikarp,2,H10,Kimiya Masago,Rare Holo
